life_desires,percentage,cluster
"INTELLIGENCE,PRODUCTIVITY,SEX",0.26,2
"HAPPINESS,INTELLIGENCE,LOVE",0.26,2
"HAPPINESS,LOVE,SEX",0.23,2
"INTELLIGENCE,POPULARITY,SEX",0.23,2
"HEALTH,LOVE,SEX",0.23,2
"CAREER,HAPPINESS,INTELLIGENCE",0.23,2
"HEALTH,LOVE,PRODUCTIVITY",0.23,2
"BALANCE,HAPPINESS,HEALTH",0.23,2
"HAPPINESS,HEALTH,LOVE",0.23,2
"HEALTH,MONEY,POPULARITY",0.21,2
"HAPPINESS,LOVE,MONEY",0.21,2
"FAMILY,HEALTH,MONEY",0.21,2
"BALANCE,HEALTH,SEX",0.21,2
"HAPPINESS,HEALTH,POPULARITY",0.21,2
"FAMILY,HEALTH,INTELLIGENCE",0.21,2
"CAREER,FAMILY,SEX",0.21,2
"BALANCE,LOVE,MONEY",0.21,2
"CAREER,POPULARITY,SEX",0.21,2
"HAPPINESS,MONEY,PRODUCTIVITY",0.21,2
"BALANCE,FAMILY,SEX",0.18,2
"HEALTH,MONEY,SEX",0.18,2
"HEALTH,LOVE,MONEY",0.18,2
"LOVE,PRODUCTIVITY,SEX",0.18,2
"INTELLIGENCE,PRODUCTIVITY",0.18,2
"BALANCE,CAREER,HAPPINESS",0.18,2
"FAMILY,HAPPINESS,HEALTH",0.15,2
"BALANCE,POPULARITY,SEX",0.15,2
"CAREER,HEALTH,POPULARITY",0.15,2
"CAREER,HEALTH,MONEY",0.15,2
"CAREER,LOVE,SEX",0.15,2
"HAPPINESS,HEALTH,MONEY",0.15,2
"FAMILY,PRODUCTIVITY,SEX",0.15,2
"BALANCE,LOVE,SEX",0.15,2
"BALANCE,POPULARITY",0.13,2
"HAPPINESS,MONEY,SEX",0.13,2
"HAPPINESS,POPULARITY,SEX",0.13,2
"HEALTH,INTELLIGENCE,SEX",0.13,2
"BALANCE,CAREER,SEX",0.13,2
"FAMILY,HEALTH,LOVE",0.13,2
"CAREER,FAMILY,HEALTH",0.13,2
"FAMILY,HEALTH,SEX",0.13,2
"CAREER,FAMILY,HAPPINESS",0.13,2
"BALANCE,INTELLIGENCE,SEX",0.13,2
"FAMILY,HAPPINESS,SEX",0.1,2
"HAPPINESS,PRODUCTIVITY,SEX",0.1,2
"INTELLIGENCE,POPULARITY",0.1,2
"HAPPINESS,HEALTH,SEX",0.1,2
"BALANCE,PRODUCTIVITY,SEX",0.1,2
"HEALTH,INTELLIGENCE,LOVE",0.1,2
"BALANCE,INTELLIGENCE",0.1,2
"HEALTH,POPULARITY,SEX",0.1,2
SEX,0.1,2
"HEALTH,PRODUCTIVITY,SEX",0.1,2
"CAREER,POPULARITY",0.08,2
"FAMILY,HAPPINESS,INTELLIGENCE",0.08,2
"HAPPINESS,LOVE",0.08,2
"POPULARITY,PRODUCTIVITY",0.08,2
"FAMILY,INTELLIGENCE,SEX",0.08,2
"CAREER,HEALTH,SEX",0.08,2
"LOVE,POPULARITY",0.08,2
"BALANCE,LOVE",0.08,2
"BALANCE,HAPPINESS,SEX",0.08,2
"FAMILY,POPULARITY",0.08,2
"BALANCE,HEALTH,MONEY",0.05,2
"BALANCE,HAPPINESS",0.05,2
"CAREER,INTELLIGENCE",0.05,2
"BALANCE,CAREER",0.05,2
"MONEY,PRODUCTIVITY",0.05,2
"BALANCE,PRODUCTIVITY",0.05,2
"CAREER,HEALTH,LOVE",0.05,2
"BALANCE,CAREER,HEALTH",0.05,2
"HAPPINESS,INTELLIGENCE,SEX",0.05,2
"PRODUCTIVITY,SEX",0.03,2
"FAMILY,MONEY",0.03,2
"FAMILY,HAPPINESS",0.03,2
"BALANCE,HEALTH",0.03,2
"BALANCE,FAMILY",0.03,2
"HEALTH,POPULARITY",0.03,2
"CAREER,HAPPINESS,HEALTH",0.03,2
"INTELLIGENCE,LOVE",0.03,2
"LOVE,SEX",0.03,2
"MONEY,POPULARITY",0.03,2
"MONEY,SEX",0.03,2
"HAPPINESS,HEALTH",0.03,2
"HEALTH,LOVE",0.03,2
"CAREER,LOVE",0.03,2
"BALANCE,MONEY,SEX",0.03,2
"LOVE,MONEY",0.03,2
"CAREER,HAPPINESS,SEX",0.03,2
missing,83.43,3
PRODUCTIVITY,2.43,3
POPULARITY,0.86,3
CAREER,0.86,3
"CAREER,MONEY,PRODUCTIVITY",0.71,3
HAPPINESS,0.71,3
BALANCE,0.57,3
"CAREER,INTELLIGENCE,PRODUCTIVITY",0.57,3
INTELLIGENCE,0.57,3
"INTELLIGENCE,POPULARITY,PRODUCTIVITY",0.43,3
"CAREER,POPULARITY,PRODUCTIVITY",0.43,3
"CAREER,HAPPINESS,MONEY",0.43,3
FAMILY,0.29,3
"BALANCE,HAPPINESS,HEALTH",0.29,3
"HAPPINESS,HEALTH,LOVE",0.29,3
"BALANCE,INTELLIGENCE,PRODUCTIVITY",0.29,3
MONEY,0.29,3
"CAREER,INTELLIGENCE,MONEY",0.29,3
"CAREER,FAMILY,PRODUCTIVITY",0.29,3
"BALANCE,INTELLIGENCE,POPULARITY",0.29,3
"CAREER,PRODUCTIVITY",0.14,3
"BALANCE,FAMILY,LOVE",0.14,3
"FAMILY,HEALTH,SEX",0.14,3
"CAREER,FAMILY,HEALTH",0.14,3
"LOVE,MONEY,PRODUCTIVITY",0.14,3
"BALANCE,HEALTH,INTELLIGENCE",0.14,3
"HAPPINESS,MONEY,SEX",0.14,3
"LOVE,MONEY,POPULARITY",0.14,3
"HEALTH,INTELLIGENCE,MONEY",0.14,3
"BALANCE,HAPPINESS,POPULARITY",0.14,3
"HAPPINESS,INTELLIGENCE,POPULARITY",0.14,3
"HAPPINESS,HEALTH,INTELLIGENCE",0.14,3
"CAREER,INTELLIGENCE,POPULARITY",0.14,3
"FAMILY,HEALTH,INTELLIGENCE",0.14,3
"HAPPINESS,HEALTH",0.14,3
"INTELLIGENCE,MONEY,POPULARITY",0.14,3
"HEALTH,POPULARITY,SEX",0.14,3
"HEALTH,INTELLIGENCE,POPULARITY",0.14,3
"FAMILY,HEALTH,LOVE",0.14,3
"BALANCE,CAREER,HAPPINESS",0.14,3
"HAPPINESS,PRODUCTIVITY",0.14,3
"INTELLIGENCE,MONEY,PRODUCTIVITY",0.14,3
"CAREER,FAMILY,SEX",0.14,3
"BALANCE,PRODUCTIVITY,SEX",0.14,3
"CAREER,HEALTH,INTELLIGENCE",0.14,3
"LOVE,SEX",0.14,3
"CAREER,HAPPINESS,PRODUCTIVITY",0.14,3
"MONEY,POPULARITY,PRODUCTIVITY",0.14,3
"INTELLIGENCE,POPULARITY",0.14,3
"FAMILY,INTELLIGENCE,PRODUCTIVITY",0.14,3
"CAREER,HEALTH,POPULARITY",0.14,3
"BALANCE,CAREER,PRODUCTIVITY",0.14,3
"HEALTH,MONEY",0.14,3
"INTELLIGENCE,MONEY,SEX",0.14,3
"BALANCE,FAMILY,PRODUCTIVITY",0.14,3
"HEALTH,MONEY,PRODUCTIVITY",0.14,3
"BALANCE,FAMILY,INTELLIGENCE",0.14,3
"MONEY,SEX",0.14,3
"FAMILY,PRODUCTIVITY",0.14,3
"LOVE,POPULARITY,PRODUCTIVITY",0.14,3
